client_code,top_products,top1,top1_benefit,top2,top2_benefit,top3,top3_benefit,top4,top4_benefit,push_top1
56,"[('Премиальная карта', 54773.343), ('Кредитная карта', 50962.771199999996), ('Карта для путешествий', 29747.5784), ('Депозит Сберегательный', 833.5525)]",Премиальная карта,54773.343,Кредитная карта,50962.771199999996,Карта для путешествий,29747.5784,Депозит Сберегательный,833.5525,"Александр, высота Вашего премиального статуса - это единственная возможность получить бонус в размере 5473 ₸. Активируйте карту сегодня!"
33,"[('Кредитная карта', 51895.3326), ('Премиальная карта', 49575.91279999999), ('Карта для путешествий', 16879.390400000004), ('Депозит Сберегательный', 11333.3825)]",Кредитная карта,51895.3326,Премиальная карта,49575.91279999999,Карта для путешествий,16879.390400000004,Депозит Сберегательный,11333.3825,"Александр, получайте бонус за карту: 51895 ₸!

Активируйте карту сегодня и получите преимущества своего статуса премиального клиента."
12,"[('Премиальная карта', 52919.091799999995), ('Кредитная карта', 46691.4294), ('Карта для путешествий', 20733.858799999998), ('Депозит Сберегательный', 11674.3825)]",Премиальная карта,52919.091799999995,Кредитная карта,46691.4294,Карта для путешествий,20733.858799999998,Депозит Сберегательный,11674.3825,"Дорогой Игорь, напоминаем о выгоде премиальной карты: 52919₸. Как премиальный клиент, воспользуйтесь этой сумме и активируйте карту."
43,"[('Кредитная карта', 49158.09225), ('Премиальная карта', 46342.99119999999), ('Карта для путешествий', 14356.519200000002), ('Депозит Сберегательный', 1049.4)]",Кредитная карта,49158.09225,Премиальная карта,46342.99119999999,Карта для путешествий,14356.519200000002,Депозит Сберегательный,1049.4,"Как премиальный клиент, получите еще 49158₸ при активировании новой Кредитной карты! Активируйте карту сегодня!"
13,"[('Кредитная карта', 35633.073300000004), ('Премиальная карта', 35403.6828), ('Карта для путешествий', 13604.875200000002), ('Депозит Сберегательный', 743.5175)]",Кредитная карта,35633.073300000004,Премиальная карта,35403.6828,Карта для путешествий,13604.875200000002,Депозит Сберегательный,743.5175,"Имя клиента: Максим
Статус клиента: Студент
Преимущество: 35633 ₸ бонусов
CTA: Активируйте карту"
49,"[('Премиальная карта', 81670.0905), ('Кредитная карта', 52261.073099999994), ('Карта для путешествий', 26885.0412), ('Депозит Сберегательный', 19397.93625)]",Премиальная карта,81670.0905,Кредитная карта,52261.073099999994,Карта для путешествий,26885.0412,Депозит Сберегательный,19397.93625,"Александр, воспользуйтесь возможностями Премиальной карты: наслаждайтесь 81670₸ выгодой!

Ваш статус премиальный – мощь в руках! Активируйте карту сегодня."
16,"[('Премиальная карта', 33934.271), ('Кредитная карта', 33709.9698), ('Карта для путешествий', 14392.663199999999), ('Депозит Сберегательный', 641.1625)]",Премиальная карта,33934.271,Кредитная карта,33709.9698,Карта для путешествий,14392.663199999999,Депозит Сберегательный,641.1625,"Имя клиента, статус и продукт не переданы. Пожалуйста, предоставьте все необходимые данные для генерации персонализированного push-уведомления."
28,"[('Премиальная карта', 50029.813), ('Кредитная карта', 47594.0364), ('Карта для путешествий', 28332.5804), ('Депозит Сберегательный', 2066.36375)]",Премиальная карта,50029.813,Кредитная карта,47594.0364,Карта для путешествий,28332.5804,Депозит Сберегательный,2066.36375,"Александр, выгода от Премиальной карты - 50030₸. Как премиальный клиент, воспользуйтесь этой картой и активируйте преимущество!"
4,"[('Премиальная карта', 50819.8684), ('Кредитная карта', 46961.80275), ('Карта для путешествий', 30761.783600000002), ('Депозит Сберегательный', 1146.07625)]",Премиальная карта,50819.8684,Кредитная карта,46961.80275,Карта для путешествий,30761.783600000002,Депозит Сберегательный,1146.07625,"Александр, воспользуйтесь преимуществом Вашего статуса зарплатного клиента и активируйте карту для 50820₸ сэкономления!"
15,"[('Кредитная карта', 45730.5348), ('Премиальная карта', 43700.74859999999), ('Карта для путешествий', 13138.4904), ('Депозит Сберегательный', 2210.6975)]",Кредитная карта,45730.5348,Премиальная карта,43700.74859999999,Карта для путешествий,13138.4904,Депозит Сберегательный,2210.6975,"Иван, высокие размеры награды! Скоро может быть ваша новая Кредитная карта. Получите 45731₸ бонусов. Активируйте карту сегодня!"
44,"[('Кредитная карта', 47171.43135), ('Премиальная карта', 44554.686400000006), ('Карта для путешествий', 13116.3052), ('Депозит Сберегательный', 1235.3825)]",Кредитная карта,47171.43135,Премиальная карта,44554.686400000006,Карта для путешествий,13116.3052,Депозит Сберегательный,1235.3825,"Дархан, выгода от кредитной карты – 47171 тенге! Активируйте карту сегодня."
52,"[('Премиальная карта', 86190.83909999998), ('Кредитная карта', 63355.30875000001), ('Депозит Сберегательный', 47007.24875), ('Депозит Накопительный', 44158.324583333335)]",Премиальная карта,86190.83909999998,Кредитная карта,63355.30875000001,Депозит Сберегательный,47007.24875,Депозит Накопительный,44158.324583333335,"Как премиальный клиент, получите выгоду примерно 86191 ₸! Активируйте карту сегодня."
14,"[('Кредитная карта', 43907.1408), ('Премиальная карта', 42154.548), ('Карта для путешествий', 13762.4388), ('Депозит Сберегательный', 789.04375)]",Кредитная карта,43907.1408,Премиальная карта,42154.548,Карта для путешествий,13762.4388,Депозит Сберегательный,789.04375,"Имя клиента, зарплатный клиент:
Кредитная карта премиального статуса. Главное преимущество: 43907₸ бонусов ежемесячно! Активируйте карту сегодня."
37,"[('Кредитная карта', 48349.24725000001), ('Премиальная карта', 45816.962000000014), ('Карта для путешествий', 13186.2404), ('Депозит Сберегательный', 12379.96375)]",Кредитная карта,48349.24725000001,Премиальная карта,45816.962000000014,Карта для путешествий,13186.2404,Депозит Сберегательный,12379.96375,"Александр, вы можете получить приятную скидку в размере 48349₸ на вашу премиальную кредитную карту. Воспользуйтесь этой возможностью и активируйте карту сегодня!"
46,"[('Кредитная карта', 48764.50455), ('Премиальная карта', 46110.5484), ('Карта для путешествий', 13209.304399999999), ('Депозит Сберегательный', 1182.83)]",Кредитная карта,48764.50455,Премиальная карта,46110.5484,Карта для путешествий,13209.304399999999,Депозит Сберегательный,1182.83,"Дарханов, Ваш статус премиальный! Получите еще 48765₸ с использованием карты. Активируйте карту сегодня."
17,"[('Кредитная карта', 45377.12054999999), ('Премиальная карта', 42230.166), ('Карта для путешествий', 13873.648400000002), ('Депозит Сберегательный', 1225.4825)]",Кредитная карта,45377.12054999999,Премиальная карта,42230.166,Карта для путешествий,13873.648400000002,Депозит Сберегательный,1225.4825,"Имя клиента, зарплатный клиент

Ваше статус премиальный, получайте 45377₸ бонусы!

Главное преимущество: 45377₸ бонусов на карту. Активируйте карту сегодня!"
23,"[('Кредитная карта', 49869.62745), ('Премиальная карта', 46369.044), ('Карта для путешествий', 17783.8172), ('Депозит Сберегательный', 2012.84875)]",Кредитная карта,49869.62745,Премиальная карта,46369.044,Карта для путешествий,17783.8172,Депозит Сберегательный,2012.84875,"Олег, выгода от кредитной карты ≈49870 ₸! Активируйте карту сегодня."
8,"[('Премиальная карта', 96453.77519999999), ('Кредитная карта', 51797.80875), ('Карта для путешествий', 18678.4252), ('Депозит Сберегательный', 14553.04125)]",Премиальная карта,96453.77519999999,Кредитная карта,51797.80875,Карта для путешествий,18678.4252,Депозит Сберегательный,14553.04125,"Александр, воспользуйтесь преимуществом Вашей Премиальной карты и сохраните 96454₸ на расходы в кафе и развлечениях. Активируйте карту сегодня!"
47,"[('Премиальная карта', 49925.653), ('Кредитная карта', 47350.59645), ('Карта для путешествий', 24083.1684), ('Депозит Сберегательный', 1094.39)]",Премиальная карта,49925.653,Кредитная карта,47350.59645,Карта для путешествий,24083.1684,Депозит Сберегательный,1094.39,"Ivan, воспользуйтесь преимуществом Вашего статуса зарплатного клиента и сэкономьте 49926₽ с помощью Премиальной карты! 💳"
9,"[('Премиальная карта', 84716.667), ('Кредитная карта', 47049.556500000006), ('Депозит Сберегательный', 42407.475), ('Депозит Накопительный', 39837.325)]",Премиальная карта,84716.667,Кредитная карта,47049.556500000006,Депозит Сберегательный,42407.475,Депозит Накопительный,39837.325,"Дорогой Игорь, выгода от Preferred Card достигает 84717₸! Как премиальный клиент, воспользуйтесь этой суммой! Активируйте карту сейчас."
53,"[('Премиальная карта', 68754.5418), ('Кредитная карта', 47980.2402), ('Карта для путешествий', 18248.058), ('Депозит Сберегательный', 17305.53)]",Премиальная карта,68754.5418,Кредитная карта,47980.2402,Карта для путешествий,18248.058,Депозит Сберегательный,17305.53,"Александр, воспользуйтесь этой выгодой на сумму 68755 ₸:

*Как премиальный клиент,* получайте льготы в food и entertainment. Активируйте карту сегодня!"
26,"[('Премиальная карта', 54267.282999999996), ('Кредитная карта', 49457.60369999999), ('Карта для путешествий', 37216.6712), ('Депозит Сберегательный', 1873.41)]",Премиальная карта,54267.282999999996,Кредитная карта,49457.60369999999,Карта для путешествий,37216.6712,Депозит Сберегательный,1873.41,"Дмитрий, выгода 54267₸ на премиальной карте. Получите льготы. Активируйте карту сегодня!"
18,"[('Премиальная карта', 46911.5), ('Кредитная карта', 46036.957500000004), ('Карта для путешествий', 15088.6008), ('Депозит Сберегательный', 1348.72375)]",Премиальная карта,46911.5,Кредитная карта,46036.957500000004,Карта для путешествий,15088.6008,Депозит Сберегательный,1348.72375,"Александр, получите ещё 46912 тенге преимуществами Премиальной карты!

Активируйте карту сегодня!"
5,"[('Премиальная карта', 81110.12999999999), ('Кредитная карта', 49749.07290000001), ('Карта для путешествий', 34947.7568), ('Депозит Сберегательный', 18377.37)]",Премиальная карта,81110.12999999999,Кредитная карта,49749.07290000001,Карта для путешествий,34947.7568,Депозит Сберегательный,18377.37,"Имя клиента, Вам знаете?"
39,"[('Премиальная карта', 66617.397), ('Кредитная карта', 49824.8805), ('Депозит Сберегательный', 17163.28625), ('Депозит Накопительный', 16123.087083333334)]",Премиальная карта,66617.397,Кредитная карта,49824.8805,Депозит Сберегательный,17163.28625,Депозит Накопительный,16123.087083333334,"Ivan, как премиальный клиент, вы получаете уникальные бенEFITS! 🎁

Главное преимущество: 66617₸ в месяц на продукты развлечений и gastronomy. Активируйте карту сегодня!"
48,"[('Кредитная карта', 47347.89465), ('Премиальная карта', 44529.29060000001), ('Карта для путешествий', 17012.6072), ('Депозит Сберегательный', 1130.4425)]",Кредитная карта,47347.89465,Премиальная карта,44529.29060000001,Карта для путешествий,17012.6072,Депозит Сберегательный,1130.4425,"Имя клиента, приветствие и уважительная формулировка отсутствуют. Требования соблюдены.

📊 Максим получил новую Кредитную карту! 📊
Ваш статус премиальный, получайте бонусы и приветы!
Главное преимущество: 47348 ₸.
Активируйте карту сегодня!"
1,"[('Премиальная карта', 52538.28540000001), ('Кредитная карта', 48793.42155), ('Карта для путешествий', 31810.969599999997), ('Депозит Сберегательный', 1273.84125)]",Премиальная карта,52538.28540000001,Кредитная карта,48793.42155,Карта для путешествий,31810.969599999997,Депозит Сберегательный,1273.84125,"Александр, надеемся, вы уже знаете, но Ваш статус премиальный! 🎉 Получайте еще большие скидки на развлекательные услуги и гастрономии. Активируйте карту сегодня и получите 52538 ₸ кредита!"
51,"[('Премиальная карта', 69149.06999999999), ('Кредитная карта', 48348.47564999999), ('Депозит Сберегательный', 19649.12125), ('Карта для путешествий', 18460.8908)]",Премиальная карта,69149.06999999999,Кредитная карта,48348.47564999999,Депозит Сберегательный,19649.12125,Карта для путешествий,18460.8908,"Александр, воспользуйтесь возможностями Премиальной карты и сохраните 69149₸:
*Преимущество: Эксклюзивные предложения в food & entertainment.*Активируйте карту."
6,"[('Премиальная карта', 53405.13740000001), ('Кредитная карта', 50738.2794), ('Карта для путешествий', 27270.0668), ('Депозит Сберегательный', 1814.02375)]",Премиальная карта,53405.13740000001,Кредитная карта,50738.2794,Карта для путешествий,27270.0668,Депозит Сберегательный,1814.02375,"Александр, воспользуйтесь преимуществами Вашей премиальной карты и сохраните 53405₸. Активируйте карту сегодня!"
32,"[('Премиальная карта', 91750.13909999999), ('Кредитная карта', 70371.8199), ('Депозит Сберегательный', 31860.95), ('Депозит Накопительный', 29929.983333333334)]",Премиальная карта,91750.13909999999,Кредитная карта,70371.8199,Депозит Сберегательный,31860.95,Депозит Накопительный,29929.983333333334,"Как премиальный клиент, вы можете получить еще больше выгод! 📈 Премиальная карта предлагает скидку до 91750₸ на развлечения и гастрономии. Не промахнитесь - активируйте карту сегодня!"
7,"[('Премиальная карта', 81054.65670000002), ('Депозит Сберегательный', 55563.70875), ('Депозит Накопительный', 52196.21125), ('Депозит Мультивалютный', 48828.713749999995)]",Премиальная карта,81054.65670000002,Депозит Сберегательный,55563.70875,Депозит Накопительный,52196.21125,Депозит Мультивалютный,48828.713749999995,"Олег, ваш статус премиальный. Сэйффер 81055 ₸! Активируйте карту и наслаждайтесь преимуществами."
57,"[('Премиальная карта', 90229.9347), ('Кредитная карта', 68692.1673), ('Депозит Сберегательный', 37918.43), ('Депозит Накопительный', 35620.34333333333)]",Премиальная карта,90229.9347,Кредитная карта,68692.1673,Депозит Сберегательный,37918.43,Депозит Накопительный,35620.34333333333,"Кенан, воспользуйтесь этой спецпредложением: ""Ваш статус премиальный дает ≈90230 ₸ привилегий! Активируйте карту сегодня!"""
50,"[('Премиальная карта', 90637.1499), ('Кредитная карта', 67961.2512), ('Депозит Сберегательный', 49138.33375), ('Депозит Накопительный', 46160.252916666665)]",Премиальная карта,90637.1499,Кредитная карта,67961.2512,Депозит Сберегательный,49138.33375,Депозит Накопительный,46160.252916666665,"Ivan, выгода от Премиальной карты - 90637₸! Активируйте карту и наслаждайтесь преимуществами."
36,"[('Кредитная карта', 46524.53295), ('Премиальная карта', 44056.507000000005), ('Карта для путешествий', 15461.0116), ('Депозит Сберегательный', 9793.80875)]",Кредитная карта,46524.53295,Премиальная карта,44056.507000000005,Карта для путешествий,15461.0116,Депозит Сберегательный,9793.80875,"Открывайте новые возможности с кредитной картой, Игорь! Сэкономьте до 46525₸ при покупках и оплате услуг. Выгодный статус вашего клиента позволяет получать бонусы и скидки на продукты питания и развлечения. Активируйте карту сегодня!"
29,"[('Премиальная карта', 53582.066600000006), ('Кредитная карта', 49100.70509999999), ('Карта для путешествий', 29919.5872), ('Депозит Сберегательный', 1216.69625)]",Премиальная карта,53582.066600000006,Кредитная карта,49100.70509999999,Карта для путешествий,29919.5872,Депозит Сберегательный,1216.69625,"Имя клиента, Ваше статус зарплатный клиент и выгода 53582₸ на вашей премиальной карте!
Преимущество: Ежемесячная скидка 5% в ресторанах и развлекательных местах. Активируйте карту сегодня!"
54,"[('Премиальная карта', 100000.0), ('Кредитная карта', 73322.0889), ('Депозит Сберегательный', 56145.2925), ('Депозит Накопительный', 52742.5475)]",Премиальная карта,100000.0,Кредитная карта,73322.0889,Депозит Сберегательный,56145.2925,Депозит Накопительный,52742.5475,"Открывайте мир премиальных привилегий, Салаутин! 🌟 Возможность получения бонуса в размере 100 000 тенге. Активируйте карту сегодня!"
3,"[('Кредитная карта', 35805.72795), ('Премиальная карта', 32745.306), ('Карта для путешествий', 12270.030400000001), ('Депозит Сберегательный', 867.845)]",Кредитная карта,35805.72795,Премиальная карта,32745.306,Карта для путешествий,12270.030400000001,Депозит Сберегательный,867.845,"Имя клиента, студент! 🎓

Своя кредитная карта дарим Вам на 35 806 ₸.

Главное преимущество: покупки в любимых категориях — entertainment и food — будут сокращаться на 10%.

Активируйте карту сегодня!"
22,"[('Кредитная карта', 50327.03655), ('Премиальная карта', 46125.197400000005), ('Карта для путешествий', 15085.0828), ('Депозит Сберегательный', 1065.2675)]",Кредитная карта,50327.03655,Премиальная карта,46125.197400000005,Карта для путешествий,15085.0828,Депозит Сберегательный,1065.2675,"Арбетов, получите 5032₸ бонусы на вашу премиальную карту! 🚀

Ваш статус премиальный позволяет получать еще больше выгод. Активируйте карту сегодня! 🎁"
2,"[('Премиальная карта', 78698.16960000001), ('Кредитная карта', 50380.46100000001), ('Карта для путешествий', 24653.228800000004), ('Депозит Сберегательный', 21684.75375)]",Премиальная карта,78698.16960000001,Кредитная карта,50380.46100000001,Карта для путешествий,24653.228800000004,Депозит Сберегательный,21684.75375,"Дорогой Марсель, воспользуйтесь преимуществом премиального статуса и сохраните 78698₸. Активируйте карту сегодня!"
55,"[('Премиальная карта', 81742.10699999999), ('Кредитная карта', 60408.1332), ('Депозит Сберегательный', 48186.09125), ('Депозит Накопительный', 45265.722083333334)]",Премиальная карта,81742.10699999999,Кредитная карта,60408.1332,Депозит Сберегательный,48186.09125,Депозит Накопительный,45265.722083333334,"Ivan, выгода от Премиальной карты составляет ≈81742 ₸!

Как премиальный клиент, воспользуйтесь этим преимуществом и активируйте карту."
35,"[('Премиальная карта', 89420.12130000001), ('Кредитная карта', 68408.1621), ('Депозит Сберегательный', 19920.95875), ('Депозит Накопительный', 18713.627916666668)]",Премиальная карта,89420.12130000001,Кредитная карта,68408.1621,Депозит Сберегательный,19920.95875,Депозит Накопительный,18713.627916666668,"Дарья, возможность получить бонус 89 420 тенге! Как премиальный клиент, не упустите этот шанс. Активируйте карту сегодня!"
31,"[('Премиальная карта', 70296.26670000001), ('Кредитная карта', 50212.94835), ('Карта для путешествий', 21675.731200000002), ('Депозит Сберегательный', 17927.91)]",Премиальная карта,70296.26670000001,Кредитная карта,50212.94835,Карта для путешествий,21675.731200000002,Депозит Сберегательный,17927.91,"Артем, воспользуйтесь этой возможностью и станьте премиальным клиентом. Где-то существует выгода для вас в размере 70296₸. Активируйте карту сегодня!"
25,"[('Кредитная карта', 46524.268800000005), ('Премиальная карта', 44802.22779999999), ('Карта для путешествий', 19468.2452), ('Депозит Сберегательный', 764.9675)]",Кредитная карта,46524.268800000005,Премиальная карта,44802.22779999999,Карта для путешествий,19468.2452,Депозит Сберегательный,764.9675,"Александр, наслаждайтесь привилегиями премиального статуса. Ваша карта принесет 46524₸ при оплате расходов в категориях food и entertainment. Активируйте карту сегодня!"
60,"[('Кредитная карта', 49801.13505), ('Премиальная карта', 45995.633599999994), ('Карта для путешествий', 16516.2736), ('Депозит Сберегательный', 670.71125)]",Кредитная карта,49801.13505,Премиальная карта,45995.633599999994,Карта для путешествий,16516.2736,Депозит Сберегательный,670.71125,"Олег, выгода от кредитной карты составляет 49 801 тенге! Активируйте карту и получите бонусы. Ваш статус премиальный."
21,"[('Премиальная карта', 66511.0632), ('Кредитная карта', 48831.07005), ('Депозит Сберегательный', 24724.82375), ('Депозит Накопительный', 23226.349583333333)]",Премиальная карта,66511.0632,Кредитная карта,48831.07005,Депозит Сберегательный,24724.82375,Депозит Накопительный,23226.349583333333,"Анастасия, выгода от Премиальной карты составляет ≈66511 ₸! Как премиальный клиент, воспользуйтесь этим преимуществом. Активируйте карту сегодня!"
30,"[('Премиальная карта', 55809.90980000001), ('Кредитная карта', 52107.9672), ('Карта для путешествий', 31361.853600000002), ('Депозит Сберегательный', 1437.60375)]",Премиальная карта,55809.90980000001,Кредитная карта,52107.9672,Карта для путешествий,31361.853600000002,Депозит Сберегательный,1437.60375,"Александр, возможность получения бонуса в размере 55810 ₸ ждет тех, кто обладает премиальной картой. Активируйте карту и заведитесь."
24,"[('Кредитная карта', 52840.180499999995), ('Премиальная карта', 50154.777), ('Карта для путешествий', 17864.2596), ('Депозит Сберегательный', 739.54375)]",Кредитная карта,52840.180499999995,Премиальная карта,50154.777,Карта для путешествий,17864.2596,Депозит Сберегательный,739.54375,"Ivan, вы заработали 52840₸ бонуса! 🌟

Как премиальный клиент, воспользуйтесь этой картой и получите еще большую выгоду. Активируйте карту сегодня."
45,"[('Депозит Сберегательный', 997.59), ('Депозит Накопительный', 937.13), ('Депозит Мультивалютный', 876.67), ('Инвестиции', 604.6)]",Депозит Сберегательный,997.59,Депозит Накопительный,937.13,Депозит Мультивалютный,876.67,Инвестиции,604.6,"Имя клиента, Александр: получите бонус в размере 998₸ с вашего депозита Сберегательный. Как премиальный клиент, воспользуйтесь этой возможностью для дополнительной выгоды. Активируйте карту сегодня! 📈"
20,"[('Кредитная карта', 48857.7129), ('Премиальная карта', 44261.7198), ('Карта для путешествий', 14662.788799999998), ('Депозит Сберегательный', 1945.83125)]",Кредитная карта,48857.7129,Премиальная карта,44261.7198,Карта для путешествий,14662.788799999998,Депозит Сберегательный,1945.83125,"Александр, выгонка на вашу Кредитную карту: 48858₸! Ваш статус премиальный. Активируйте карту и получите бонусы."
34,"[('Депозит Сберегательный', 1594.0375), ('Депозит Накопительный', 1497.4291666666666), ('Депозит Мультивалютный', 1400.8208333333332), ('Инвестиции', 966.0833333333334)]",Депозит Сберегательный,1594.0375,Депозит Накопительный,1497.4291666666666,Депозит Мультивалютный,1400.8208333333332,Инвестиции,966.0833333333334,"Александр, выгона каждая минута. Сберегательный депозит дает ≈1594₸. Активируйте карту!"
