client_code,top_products,top1,top1_benefit,push_top1
56,"[('Premium Card', 54773.343), ('Shopper Card', 28958.4609), ('Everyday Card', 27386.6715), ('Travel Card', 26039.1311)]",Premium Card,54773.343,"Нуркен, исходя из ваших трат, премиальная карта даст вам ≈54 773 KZT возврата и привилегии. Узнать подробнее?"
33,"[('Premium Card', 49575.91279999999), ('Shopper Card', 32277.530399999996), ('Everyday Card', 24787.956399999995), ('Travel Card', 16879.390400000004)]",Premium Card,49575.91279999999,"Мерей, исходя из ваших трат, премиальная карта даст вам ≈49 576 KZT возврата и привилегии. Узнать подробнее?"
12,"[('Premium Card', 52919.091799999995), ('Everyday Card', 26459.545899999997), ('Shopper Card', 25463.3643), ('Travel Card', 20733.858799999998)]",Premium Card,52919.091799999995,"Жанар, исходя из ваших трат, премиальная карта даст вам ≈52 919 KZT возврата и привилегии. Узнать подробнее?"
43,"[('Premium Card', 46342.99119999999), ('Shopper Card', 29945.399699999998), ('Everyday Card', 23171.495599999995), ('Travel Card', 14356.519200000002)]",Premium Card,46342.99119999999,"Нуртас, исходя из ваших трат, премиальная карта даст вам ≈46 343 KZT возврата и привилегии. Узнать подробнее?"
13,"[('Premium Card', 35403.6828), ('Shopper Card', 20900.0154), ('Everyday Card', 17701.8414), ('Travel Card', 12324.4652)]",Premium Card,35403.6828,"Алина, исходя из ваших трат, премиальная карта даст вам ≈35 404 KZT возврата и привилегии. Узнать подробнее?"
49,"[('Premium Card', 54446.727000000006), ('Shopper Card', 29397.5127), ('Everyday Card', 27223.363500000003), ('Travel Card', 23249.361299999997)]",Premium Card,54446.727000000006,"Амина, исходя из ваших трат, премиальная карта даст вам ≈54 447 KZT возврата и привилегии. Узнать подробнее?"
16,"[('Premium Card', 33934.271), ('Shopper Card', 19054.6458), ('Everyday Card', 16967.1355), ('Travel Card', 12881.4198)]",Premium Card,33934.271,"Ерасыл, исходя из ваших трат, премиальная карта даст вам ≈33 934 KZT возврата и привилегии. Узнать подробнее?"
28,"[('Premium Card', 50029.813), ('Travel Card', 25382.1214), ('Everyday Card', 25014.9065), ('Shopper Card', 24800.5539)]",Premium Card,50029.813,"Алтынай, исходя из ваших трат, премиальная карта даст вам ≈50 030 KZT возврата и привилегии. Узнать подробнее?"
4,"[('Premium Card', 50819.8684), ('Travel Card', 27094.9597), ('Everyday Card', 25409.9342), ('Shopper Card', 24464.1903)]",Premium Card,50819.8684,"Тимур, исходя из ваших трат, премиальная карта даст вам ≈50 820 KZT возврата и привилегии. Узнать подробнее?"
15,"[('Premium Card', 43700.74859999999), ('Shopper Card', 29787.308399999998), ('Everyday Card', 21850.374299999996), ('Travel Card', 13138.4904)]",Premium Card,43700.74859999999,"Нурия, исходя из ваших трат, премиальная карта даст вам ≈43 701 KZT возврата и привилегии. Узнать подробнее?"
44,"[('Premium Card', 44554.686400000006), ('Shopper Card', 29483.9676), ('Everyday Card', 22277.343200000003), ('Travel Card', 13116.3052)]",Premium Card,44554.686400000006,"Айнагуль, исходя из ваших трат, премиальная карта даст вам ≈44 555 KZT возврата и привилегии. Узнать подробнее?"
52,"[('Premium Card', 57460.5594), ('Shopper Card', 30514.2387), ('Everyday Card', 28730.2797), ('Travel Card', 20209.096000000005)]",Premium Card,57460.5594,"Милана, исходя из ваших трат, премиальная карта даст вам ≈57 461 KZT возврата и привилегии. Узнать подробнее?"
14,"[('Premium Card', 42154.548), ('Shopper Card', 28327.5333), ('Everyday Card', 21077.274), ('Travel Card', 13762.4388)]",Premium Card,42154.548,"Диас, исходя из ваших трат, премиальная карта даст вам ≈42 155 KZT возврата и привилегии. Узнать подробнее?"
1,"[('Premium Card', 52538.28540000001), ('Travel Card', 27715.761699999995), ('Everyday Card', 26269.142700000004), ('Shopper Card', 24597.182399999998)]",Premium Card,52538.28540000001,"Айгерим, исходя из ваших трат, премиальная карта даст вам ≈52 538 KZT возврата и привилегии. Узнать подробнее?"
2,"[('Premium Card', 52465.44640000001), ('Shopper Card', 31456.256699999998), ('Everyday Card', 26232.723200000004), ('Travel Card', 22423.482500000002)]",Premium Card,52465.44640000001,"Данияр, исходя из ваших трат, премиальная карта даст вам ≈52 465 KZT возврата и привилегии. Узнать подробнее?"
3,"[('Premium Card', 32745.306), ('Shopper Card', 17393.8836), ('Everyday Card', 16372.653), ('Travel Card', 12260.678500000002)]",Premium Card,32745.306,"Сабина, исходя из ваших трат, премиальная карта даст вам ≈32 745 KZT возврата и привилегии. Узнать подробнее?"
5,"[('Premium Card', 54073.42), ('Travel Card', 31391.7336), ('Everyday Card', 27036.71), ('Shopper Card', 25843.226999999995)]",Premium Card,54073.42,"Камилла, исходя из ваших трат, премиальная карта даст вам ≈54 073 KZT возврата и привилегии. Узнать подробнее?"
6,"[('Premium Card', 53405.13740000001), ('Shopper Card', 28871.1927), ('Everyday Card', 26702.568700000003), ('Travel Card', 24131.6966)]",Premium Card,53405.13740000001,"Аян, исходя из ваших трат, премиальная карта даст вам ≈53 405 KZT возврата и привилегии. Узнать подробнее?"
7,"[('Premium Card', 54036.437800000014), ('Shopper Card', 28121.0919), ('Everyday Card', 27018.218900000007), ('Travel Card', 17226.004)]",Premium Card,54036.437800000014,"Руслан, исходя из ваших трат, премиальная карта даст вам ≈54 036 KZT возврата и привилегии. Узнать подробнее?"
8,"[('Premium Card', 64302.5168), ('Everyday Card', 32151.2584), ('Shopper Card', 30083.8884), ('Travel Card', 18678.4252)]",Premium Card,64302.5168,"Мадина, исходя из ваших трат, премиальная карта даст вам ≈64 303 KZT возврата и привилегии. Узнать подробнее?"
9,"[('Premium Card', 56477.778), ('Shopper Card', 31304.6265), ('Everyday Card', 28238.889), ('Travel Card', 15431.038800000002)]",Premium Card,56477.778,"Арман, исходя из ваших трат, премиальная карта даст вам ≈56 478 KZT возврата и привилегии. Узнать подробнее?"
17,"[('Premium Card', 42230.166), ('Shopper Card', 25531.0206), ('Everyday Card', 21115.083), ('Travel Card', 13873.648400000002)]",Premium Card,42230.166,"Жанель, исходя из ваших трат, премиальная карта даст вам ≈42 230 KZT возврата и привилегии. Узнать подробнее?"
18,"[('Premium Card', 46911.5), ('Shopper Card', 37344.134399999995), ('Everyday Card', 23455.75), ('Travel Card', 15088.6008)]",Premium Card,46911.5,"Санжар, исходя из ваших трат, премиальная карта даст вам ≈46 912 KZT возврата и привилегии. Узнать подробнее?"
20,"[('Premium Card', 44261.7198), ('Shopper Card', 24072.642), ('Everyday Card', 22130.8599), ('Travel Card', 14662.788799999998)]",Premium Card,44261.7198,"Анель, исходя из ваших трат, премиальная карта даст вам ≈44 262 KZT возврата и привилегии. Узнать подробнее?"
21,"[('Premium Card', 44340.70880000001), ('Shopper Card', 25106.399999999998), ('Everyday Card', 22170.354400000004), ('Travel Card', 13671.448400000001)]",Premium Card,44340.70880000001,"Павел, исходя из ваших трат, премиальная карта даст вам ≈44 341 KZT возврата и привилегии. Узнать подробнее?"
22,"[('Premium Card', 46125.197400000005), ('Shopper Card', 26407.706999999995), ('Everyday Card', 23062.598700000002), ('Travel Card', 15085.0828)]",Premium Card,46125.197400000005,"Аружан, исходя из ваших трат, премиальная карта даст вам ≈46 125 KZT возврата и привилегии. Узнать подробнее?"
23,"[('Premium Card', 46369.044), ('Shopper Card', 26030.014199999998), ('Everyday Card', 23184.522), ('Travel Card', 17783.8172)]",Premium Card,46369.044,"Темирлан, исходя из ваших трат, премиальная карта даст вам ≈46 369 KZT возврата и привилегии. Узнать подробнее?"
24,"[('Premium Card', 50154.777), ('Shopper Card', 31385.775299999998), ('Everyday Card', 25077.3885), ('Travel Card', 17864.2596)]",Premium Card,50154.777,"Гульмира, исходя из ваших трат, премиальная карта даст вам ≈50 155 KZT возврата и привилегии. Узнать подробнее?"
25,"[('Premium Card', 44802.22779999999), ('Shopper Card', 26756.9619), ('Everyday Card', 22401.113899999997), ('Travel Card', 19468.2452)]",Premium Card,44802.22779999999,"Адиль, исходя из ваших трат, премиальная карта даст вам ≈44 802 KZT возврата и привилегии. Узнать подробнее?"
26,"[('Premium Card', 54267.282999999996), ('Travel Card', 32995.713899999995), ('Everyday Card', 27133.641499999998), ('Shopper Card', 23311.2663)]",Premium Card,54267.282999999996,"Маржан, исходя из ваших трат, премиальная карта даст вам ≈54 267 KZT возврата и привилегии. Узнать подробнее?"
29,"[('Premium Card', 53582.066600000006), ('Shopper Card', 31941.3165), ('Travel Card', 27198.3263), ('Everyday Card', 26791.033300000003)]",Premium Card,53582.066600000006,"Сая, исходя из ваших трат, премиальная карта даст вам ≈53 582 KZT возврата и привилегии. Узнать подробнее?"
30,"[('Premium Card', 55809.90980000001), ('Shopper Card', 29976.146099999998), ('Travel Card', 28123.100700000003), ('Everyday Card', 27904.954900000004)]",Premium Card,55809.90980000001,"Ербол, исходя из ваших трат, премиальная карта даст вам ≈55 810 KZT возврата и привилегии. Узнать подробнее?"
31,"[('Premium Card', 46864.177800000005), ('Shopper Card', 23909.8383), ('Everyday Card', 23432.088900000002), ('Travel Card', 21675.731200000002)]",Premium Card,46864.177800000005,"Дамир, исходя из ваших трат, премиальная карта даст вам ≈46 864 KZT возврата и привилегии. Узнать подробнее?"
32,"[('Premium Card', 61166.759399999995), ('Everyday Card', 30583.379699999998), ('Shopper Card', 30370.0422), ('Travel Card', 16515.4616)]",Premium Card,61166.759399999995,"Алия, исходя из ваших трат, премиальная карта даст вам ≈61 167 KZT возврата и привилегии. Узнать подробнее?"
34,"[('Travel Card', 0.0), ('Shopper Card', 0.0), ('Premium Card', 0.0), ('Everyday Card', 0.0)]",Travel Card,0.0,"Здравствуйте, за последние 30 дней вы потратили много на поездки и такси. С Travel-картой вы могли бы вернуть ≈0 KZT. Оформить карту?"
35,"[('Premium Card', 59613.41420000001), ('Everyday Card', 29806.707100000003), ('Shopper Card', 28268.267699999993), ('Travel Card', 18340.8676)]",Premium Card,59613.41420000001,"Самат, исходя из ваших трат, премиальная карта даст вам ≈59 613 KZT возврата и привилегии. Узнать подробнее?"
36,"[('Premium Card', 44056.507000000005), ('Shopper Card', 27524.6964), ('Everyday Card', 22028.253500000003), ('Travel Card', 15461.0116)]",Premium Card,44056.507000000005,"Назым, исходя из ваших трат, премиальная карта даст вам ≈44 057 KZT возврата и привилегии. Узнать подробнее?"
37,"[('Premium Card', 45816.962000000014), ('Shopper Card', 30862.7112), ('Everyday Card', 22908.481000000007), ('Travel Card', 13186.2404)]",Premium Card,45816.962000000014,"Гульнар, исходя из ваших трат, премиальная карта даст вам ≈45 817 KZT возврата и привилегии. Узнать подробнее?"
39,"[('Premium Card', 44411.598), ('Shopper Card', 25448.6106), ('Everyday Card', 22205.799), ('Travel Card', 10848.5632)]",Premium Card,44411.598,"Ляззат, исходя из ваших трат, премиальная карта даст вам ≈44 412 KZT возврата и привилегии. Узнать подробнее?"
45,"[('Travel Card', 0.0), ('Shopper Card', 0.0), ('Premium Card', 0.0), ('Everyday Card', 0.0)]",Travel Card,0.0,"Здравствуйте, за последние 30 дней вы потратили много на поездки и такси. С Travel-картой вы могли бы вернуть ≈0 KZT. Оформить карту?"
46,"[('Premium Card', 46110.5484), ('Shopper Card', 30895.6578), ('Everyday Card', 23055.2742), ('Travel Card', 13209.304399999999)]",Premium Card,46110.5484,"Арсен, исходя из ваших трат, премиальная карта даст вам ≈46 111 KZT возврата и привилегии. Узнать подробнее?"
47,"[('Premium Card', 49925.653), ('Shopper Card', 31791.102299999995), ('Everyday Card', 24962.8265), ('Travel Card', 22342.405899999998)]",Premium Card,49925.653,"Камшат, исходя из ваших трат, премиальная карта даст вам ≈49 926 KZT возврата и привилегии. Узнать подробнее?"
48,"[('Premium Card', 44529.29060000001), ('Shopper Card', 26132.627099999998), ('Everyday Card', 22264.645300000004), ('Travel Card', 17012.6072)]",Premium Card,44529.29060000001,"Ержан, исходя из ваших трат, премиальная карта даст вам ≈44 529 KZT возврата и привилегии. Узнать подробнее?"
50,"[('Premium Card', 60424.7666), ('Everyday Card', 30212.3833), ('Shopper Card', 29992.997099999997), ('Travel Card', 20478.400400000002)]",Premium Card,60424.7666,"Тимурлан, исходя из ваших трат, премиальная карта даст вам ≈60 425 KZT возврата и привилегии. Узнать подробнее?"
51,"[('Premium Card', 46099.38), ('Shopper Card', 27755.5206), ('Everyday Card', 23049.69), ('Travel Card', 18460.8908)]",Premium Card,46099.38,"Жанат, исходя из ваших трат, премиальная карта даст вам ≈46 099 KZT возврата и привилегии. Узнать подробнее?"
53,"[('Premium Card', 45836.3612), ('Shopper Card', 27862.559699999998), ('Everyday Card', 22918.1806), ('Travel Card', 18248.058)]",Premium Card,45836.3612,"Расул, исходя из ваших трат, премиальная карта даст вам ≈45 836 KZT возврата и привилегии. Узнать подробнее?"
54,"[('Premium Card', 77387.8684), ('Travel Card', 42586.2491), ('Everyday Card', 38693.9342), ('Shopper Card', 32088.7113)]",Premium Card,77387.8684,"Виктория, исходя из ваших трат, премиальная карта даст вам ≈77 388 KZT возврата и привилегии. Узнать подробнее?"
55,"[('Premium Card', 54494.738), ('Shopper Card', 31415.4945), ('Everyday Card', 27247.369), ('Travel Card', 15003.2708)]",Premium Card,54494.738,"Асель, исходя из ваших трат, премиальная карта даст вам ≈54 495 KZT возврата и привилегии. Узнать подробнее?"
57,"[('Premium Card', 60153.289800000006), ('Everyday Card', 30076.644900000003), ('Shopper Card', 29855.175), ('Travel Card', 17627.146399999998)]",Premium Card,60153.289800000006,"Жания, исходя из ваших трат, премиальная карта даст вам ≈60 153 KZT возврата и привилегии. Узнать подробнее?"
60,"[('Premium Card', 45995.633599999994), ('Shopper Card', 25997.425499999998), ('Everyday Card', 22997.816799999997), ('Travel Card', 16516.2736)]",Premium Card,45995.633599999994,"Ермек, исходя из ваших трат, премиальная карта даст вам ≈45 996 KZT возврата и привилегии. Узнать подробнее?"
